Dấu thời gian,Bạn bao nhiêu tuổi?,Hiện tại bạn đang cư trú ở đâu?,Bạn đã sử dụng sữa rửa mặt bao giờ chưa?,Nguyên nhân bạn chưa sử dụng sữa rửa mặt là gì?,Giới tính của bạn là?,1. Bạn sử dụng sữa rửa mặt với mục đích gì?,2. Da của bạn thuộc loại da gì?,3. Bạn thường sử dụng sữa rửa mặt bao nhiêu lần một ngày?,4. Bạn sử dụng sữa rửa mặt khi nào?,5. Bạn thường mua sữa rửa mặt ở đâu?,6. Bạn tiếp cận thông tin về sữa rửa mặt qua đâu?,7. Bạn đang sử dụng sữa rửa mặt chiết xuất từ đâu?,8. Dạng sữa rửa mặt bạn đang sử dụng là gì?,9. Bạn có thích sữa rửa mặt có mùi hương không?,9.1. Bạn yêu thích sữa rửa mặt có hương liệu trái cây nào nhất?,9.2. Bạn yêu thích sửa rửa mặt có hương liệu rau củ nào nhất?,9.3. Bạn yêu thích sửa rửa mặt có hương liệu hoa cỏ nào nhất?,10. Bạn thường mua sản phẩm với dung tích bao nhiêu?,11. Số lượng sản phẩm mua trong một lần của bạn,12. Bạn chấp nhận chi bao nhiêu cho 1 sản phẩm sữa rửa mặt với dung tích 150 ml?,13. Yếu tố quan trọng nhất ảnh hưởng đến việc lựa chọn loại sữa rửa mặt của bạn? ,14. Bạn thường lựa chọn sử dụng sữa rửa mặt thông qua đâu nhất?,15. Bạn hay sử dụng sữa rửa mặt của nước nào? ,16. Bạn thường mua sữa rửa mặt qua kênh online nào?,17. Bạn thường mua sữa rửa mặt qua kênh offline nào?,18. Bạn quan tâm nhất đến những yếu tố nào của nơi bán trực tiếp khi mua sữa rửa mặt? ,19. Bạn quan tâm nhất đến những yếu tố nào của nơi bán online khi mua sữa rửa mặt?,20. Bạn lo ngại điều gì khi sử dụng sữa rửa mặt? ,"21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
b, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Chất lượng]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thương hiệu]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Giá cả]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mẫu mã]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Xuất xứ]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thành phần]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mùi hương]","22. Nếu chúng tôi ra mắt một sản phẩm sữa rửa mặt mới, bạn có sẵn sàng dùng thử hay không?",23. Bạn mong muốn điều gì nhất ở một sản phẩm sữa rửa mặt mới? 
10/02/2023 7:51:23,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,Cam xả,Thảo mộc,Trà xanh,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Nhật Bản, Hàn Quốc, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,7.0,5.0,4.0,7.0,4.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 7:56:35,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Có,Cam,Nha đam,Lavender,50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng",Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,5.0,4.0,4.0,6.0,7.0,4.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 8:10:38,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Da dầu,1 lần/ngày,Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Nhân viên tiếp thị, Gia đình; người thân",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,Review từ người quen,"Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Siêu thị, Tạp hoá, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái",7.0,4.0,5.0,2.0,7.0,7.0,4.0,Có,Sản phẩm với công dụng khác biệt
10/02/2023 8:18:08,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da khô,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà","Website của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng sữa,Có,"Dâu, Táo","Thảo mộc, Nha đam","Anh đào, Hoa cúc",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Hàn Quốc, Pháp, Anh",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Giá cả,Đánh giá từ những người đã mua,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da",6.0,3.0,5.0,1.0,5.0,6.0,4.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 8:19:45,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,"Review từ KOL, beauty blogger, người nổi tiếng",Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Giá cả,Đánh giá từ những người đã mua,Không có hiệu quả hoặc hiệu quả kém,7.0,5.0,7.0,1.0,3.0,6.0,2.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 8:23:03,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Da hỗn hợp,Hơn 2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",Chiết xuất từ thiên nhiên,Dạng sữa,Có,Đào,"Thảo mộc, Nha đam","Lavender, Trà xanh",50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Nhật Bản, Hàn Quốc, Đức","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,6.0,5.0,6.0,7.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 8:25:07,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Siêu thị; trung tâm thương mại",Tự tìm hiểu,Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,"Review từ các trang web, blog,... về làm đẹp",Hàn Quốc,Sàn thương mại điện tử,Siêu thị,Giá cả,"Chính sách khuyến mãi, ưu đãi",Không có hiệu quả hoặc hiệu quả kém,4.0,3.0,3.0,4.0,3.0,4.0,4.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
10/02/2023 8:27:57,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da dầu,1 lần/ngày,Sau khi thức dậy,"Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo",Chiết xuất từ thiên nhiên,Dạng bọt,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Review từ người quen,Mỹ,Sàn thương mại điện tử,Siêu thị,Giá cả,"Chính sách khuyến mãi, ưu đãi","Tác dụng phụ; gây kích ứng; bong tróc da",5.0,4.0,5.0,4.0,4.0,4.0,4.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 8:37:14,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da khô,1 lần/ngày,Sau khi thức dậy,"Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo",Chiết xuất từ các hoạt chất hóa học,Dạng sữa,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,Nhật Bản,Sàn thương mại điện tử,Cửa hàng chính hãng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Chính sách khuyến mãi, ưu đãi","Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,6.0,7.0,7.0,7.0,5.0,Chưa biết,Sản phẩm với công dụng khác biệt
10/02/2023 8:47:13,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,Hơn 2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi, Nhà thuốc","Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Táo, Việt quất, Chanh","Dưa leo, Nha đam, Rau má","Lavender, Trà xanh, Hoa cúc",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Xuất xứ,Review từ người quen,"Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Siêu thị, Tạp hoá, Nhà thuốc",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Có,Sản phẩm lành tính với nhiều loại da
10/02/2023 8:52:05,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Cam, Chanh","Thảo mộc, Nha đam",Trà xanh,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,"Review từ KOL, beauty blogger, người nổi tiếng",Nhật Bản,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Giá cả,"Chính sách khuyến mãi, ưu đãi","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém",7.0,6.0,7.0,4.0,5.0,5.0,6.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
10/02/2023 8:57:35,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da khô,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tự tìm hiểu, Bạn bè, Đồng nghiệp",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Dâu, Cherry, Đào","Dưa leo, Nha đam, Rau má","Lavender, Hoa hồng, Anh đào",50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,Review từ người quen,"Mỹ, Hàn Quốc",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Sản phẩm không có nguồn gốc rõ ràng,6.0,7.0,7.0,5.0,7.0,7.0,5.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
10/02/2023 9:04:49,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Tự tìm hiểu",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,"Mỹ, Pháp","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,4.0,4.0,4.0,7.0,7.0,1.0,Không,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 9:09:48,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên, Tự tìm hiểu",Chiết xuất từ thiên nhiên,Dạng bọt,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,"Mỹ, Canada","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái",5.0,5.0,4.0,3.0,5.0,5.0,2.0,Không,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 9:20:09,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng bọt,Có,"Táo, Chanh","Dưa leo, Nha đam","Lavender, Hoa hồng",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng",Mỹ,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,7.0,4.0,6.0,7.0,5.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
10/02/2023 9:23:30,Từ 18 - 25 tuổi,Khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2023 9:32:01,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,Tràm trà,"Thảo mộc, Nha đam, Rau má","Trà xanh, Hoa cúc",50 ml - 150 ml,Từ 3-5 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,4.0,6.0,3.0,5.0,7.0,5.0,Chưa biết,Sản phẩm với công dụng khác biệt
10/02/2023 9:33:08,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,1 lần/ngày,Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Mỹ, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,7.0,7.0,4.0,6.0,7.0,7.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 9:33:39,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da dầu,1 lần/ngày,Trước khi đi ngủ,Nhà thuốc,"Truyền thông; quảng cáo, Gia đình; người thân",Chiết xuất từ thiên nhiên,Dạng bọt,Có,Đào,"Thảo mộc, Nha đam",Lavender,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Xuất xứ,"Review từ KOL, beauty blogger, người nổi tiếng",Hàn Quốc,Website của hãng,"Nhà thuốc, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Chi phí vận chuyển,Không có hiệu quả hoặc hiệu quả kém,7.0,6.0,5.0,4.0,5.0,4.0,2.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
10/02/2023 9:36:55,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng","Tư vấn từ bác sĩ, Tự tìm hiểu",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Cherry, Đào",Nha đam,Lavender,Trên 150 ml - 300 ml,Từ 3-5 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,5.0,3.0,2.0,7.0,7.0,4.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
10/02/2023 9:38:22,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Tạp hoá",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém",7.0,6.0,5.0,4.0,5.0,4.0,3.0,Có,Sản phẩm lành tính với nhiều loại da
10/02/2023 9:41:37,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da dầu,1 lần/ngày,"Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Tạp hóa","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Có,"Táo, Đào, Chanh","Dưa leo, Nha đam","Lavender, Hoa hồng",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,Review từ người quen,"Mỹ, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Siêu thị, Tạp hoá",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,6.0,7.0,6.0,6.0,6.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
